"","id","author","stars","date","comments","length","category"
"11","11","By Herman P I",5,"Aug 07, 2017","This was a great class. The instruction is very accessible. I've never liked chemistry. I couldn't wait to take the quizzes because after watching the videos and working through the examples you really feel like you grasped the concepts. I thought I might need a textbook to supplement the videos. I've taken classes where I just didn't get enough practice to feel like I understood, but this course has plenty of well worked step-by-step problems. The professor even blows some stuff up!",489,"chem"
"12","12","By Goran H",5,"Mar 11, 2018","Since it was 40 years since I studied chemistry, it was a challange to complete the course, and required much more hours than expected (about 10-14 hours/week). But thanks to the great presentations, and study material, I actually made it! :) Thanks a lot to Dr. Allison Soult, and Dr. Kim Woodrum! I highly recommend anyone interested in chemistry to sign up for this course!",376,"chem"
"13","13","By tenzin",5,"Dec 22, 2016","I really appreciate the developers, professors, and all the staffs who have worked behind this course. It is really a wondeful introductory Chemistry course, well explained and filled with great exercises. The team who answer our doubts in discussion forum reply promptly and with great detail explaination. Thank you so much. Must for any chemistry lover or interested in it.",377,"chem"
"14","14","By Pratyusha M",5,"Jun 26, 2017","Absolutely love this course! The content is very clear, the practice problems are carefully constructed (as well as applicable and challenging) and the video demonstrations make learning chemistry fun to learn. Highly prefer this coursera course over a Chemistry course I'm taking at an actual college. I'm learning so much more from these videos.",348,"chem"
"15","15","By Job Z",5,"Jan 19, 2020","Very nice course, good balance between elementary stuff and somewhat more interesting material. Not just ""practical skills"", but also interesting insight in some elementary quantum mechanics for atomic structures and the impact on the periodic system. That insight is not just theory, but it is applied later on in the course.",327,"chem"
"16","16","By Hosam A",5,"Jan 14, 2018","As useful as it should be!Takes you from the very basics of understanding the elementary concepts to the complicated (in ease) with a very reasonable introductions.Course lectures are supplied with incomplete handouts, so you can interactively participate with your own understanding and learning.",297,"chem"
"17","17","By Jamelah M",5,"Sep 26, 2017","This course was awesome! I haven't taken general chemistry in over 15 years. This course provided thorough explanations and examples to help me relearn many important concepts that are essential to an understanding of general chemistry. I am excited about enrolling in the next course!",285,"chem"
"18","18","By Michal M",5,"Apr 03, 2019","Very good course. I'd like to thank both the lecturers and the mentors on the forum. There were a few errors in the course, but all/most have been incorporated in the errata. I can't wait to start the advanced course. Thank you once again, and hope to see more courses from this team.",284,"chem"
"19","19","By Robert W I",5,"Nov 16, 2016","I wanted to give a four-star rating because of the fact that I couldn't grasp quite a few things, but then I remembered that it was just me. They explained everything very well, I would very much recommend this course for anyone seeking knowledge on Chemistry.",260,"chem"
"20","20","By Luis G",5,"Jan 27, 2019","This is the best chemistry course I have taken. The course is very well developed, with step by step explanations, in addition to the teachers explain very well the chemistry topics that are complex. I congratulate its creators for this great course.",250,"chem"
"21","21","By Alicia V T B",5,"Dec 14, 2017","Opino que es un curso más excelente que he visto en toda mi vida, aprendí nuevos métodos científicos ya que soy estudiante universitaria de la UNJFSC, mi carrera es de ingeniería química. Muchas gracias por sus enseñanzas, me sirvieron de mucha ayuda",250,"chem"
"22","22","By Dotan S",5,"Jul 04, 2017","Excellent course. Good knowledge must be built on strong foundations, and this course provides such foundations. The problems are explained in a very detailed (but not exhausting) manner, and the course is structured just right. Thank you very much!",249,"chem"
"23","23","By José A J H",5,"Apr 05, 2019","This is a very good introductory chemistry course. The lectures are interesting and the student has the opportunity to perform lots of problems. The degree of difficulty is adequate for an introductory course so you will go through it easily",241,"chem"
"24","24","By Asrorkhuja O",5,"Nov 06, 2016","I was really bad at chemistry to be honest and didn't like this subject somehow. With this course I am starting to love it, lesson are taught very clearly and explained in detail. Yeah, it's true that you don't like what you don't know :)",238,"chem"
"25","25","By Ipsita R",5,"Jun 18, 2017","I Liked this course a lot. Though I wish Dr. Allison Soult can learn from her senior faculty about the art of teaching. Her voice lacks enthusiasm unlike her co faculty Dr Kim. Otherwise an excellent course for refreshing memory.",229,"chem"
"26","26","By Eyad k",5,"Dec 20, 2017","Hello I was very glad by learning in this wonderful course, I would like to thank the doctors who are working on this distinguished work and I hope there will be courses in analytical and organic chemistry
Eyad Kahil",216,"chem"
"27","27","By Natalia Y",5,"Jan 16, 2017","thorough, detailed, everything's explained clearly, lots of practice problems, great examples and experiments (my favorite are the thermite reaction and the endothermic slush) - loved it and certainly recommend it",213,"chem"
"28","28","By Jennifer",5,"Mar 03, 2018","Everything is explained concisely and the slides provide an easy to view outline of the information. The questions throughout the lecture are also super useful for practice, reviewing and reinforcing material.",211,"chem"
"29","29","By David K C",5,"Jun 28, 2016","Very good review, especially the atomic structure unit. The stoichiometry unit was also very comprehensive. I hope there could be more on gaseous state and solution/acid-base chemistry. Quizzes are very good.
",209,"chem"
"30","30","By Filippo V",5,"Aug 26, 2019","Very clear in the explanations provided, it is a complete course to really introduce to basic concepts of chemistry such as stechiometry, thermodynamic, atom structures and reactions.",183,"chem"
"31","31","By Lizbeth H C",5,"Apr 07, 2018","El curso es muy bueno, hay algunos errores de redacción en los ejercicios para resolver como parte del curso y como parte de las evaluaciones, pero en general es un excelente recurso.",183,"chem"
"32","32","By Hamza O M",5,"Mar 17, 2017","This course was intriguing and eye opening for me. It was relevant and broadly useful.I hope I took the advantage of it  and that it will help me in my future learnings of chemistry",181,"chem"
"33","33","By Mahmoud E A E M",5,"Jun 04, 2018","Teachers are tranquilness is supporting better way to focus on course objectives besides the availability of  materials giving offline manifested homework study",162,"chem"
"34","34","By Anastasiia E",5,"Feb 21, 2020","I really loved the way of conducting material. It is slow and thorough. This is a very good start for learning Chemistry. Thank you kindly for the course.",154,"chem"
"35","35","By Tyra E",5,"Aug 16, 2017","Informative, great explanations and easy to follow! Helped loads for my Chemistry foundation prior to going into University, just to catch up on things.",153,"chem"
"36","36","By David B",5,"Mar 09, 2020","While it was a long journey to finish, I enjoyed it and learned much.  The instructors clearly  explained the concepts to chemistry in this course.",147,"chem"
"37","37","By Harry A H",5,"Dec 07, 2019","Geared toward US exam in chemistry. Wouldn't have minded some uses and background on the molecules. A lot of work has gone into this course,",140,"chem"
"38","38","By srilalitha v",5,"May 30, 2019","Hi,  iam very much thankful to coursera for providing such wonderful opportunity to learn n build our knowledge n career tooSrilalitha",134,"chem"
"39","39","By María V R A",5,"Sep 07, 2019","Excelente curso y muy bien explicado...es muy entretenido y lo hacen muy ameno. Muchas gracias y felicitaciones a las profesoras.",129,"chem"
"40","40","By Regina C",5,"Nov 28, 2017","I find this course amazing. The subjects are really explained in detail with practical exercises. Loving it! Best course ever!",126,"chem"
"41","41","By lzk",5,"Jul 12, 2017","A fun and imformative course. It's not really hard to follow, but you should have some prior knowledge of math and chemistry.",125,"chem"
"42","42","By Сумед К",5,"Oct 05, 2017","Very Helpful for GraduatesBrushes up the BasicsMy uncle Sushrutha Nagaraj in USA, Told me about CoursersYour Lovingly Sumedh",124,"chem"
"43","43","By Maya R",5,"Jul 30, 2016","Simple and clear explanations. Great to identify if you need how to solve problems on your own - so important for uni.",119,"chem"
"44","44","By Aishwarya L",5,"Feb 11, 2018","Course content is good and the team is very supportive with solving  queries. I would highly recommend this course.",115,"chem"
"45","45","By M.R.T.",5,"Jan 03, 2020","This is a very complete Basic Chemistry Course, full of exercises and full of details. Worth every minute watched.",114,"chem"
"46","46","By Aditya K",5,"Jun 17, 2019","Excellent Course, especially if you are new to chemistry. It is taught in such a way that it's easy to understand.",114,"chem"
"47","47","By shay r",5,"Mar 04, 2017","amazing one,I LOVE the way they teach and the explanations are clear and simple while the course level is not low",114,"chem"
"48","48","By natasha s",5,"Feb 06, 2020","This course was great! I was able to do everything at my own pace and if I had questions I would discuss them!",111,"chem"
"49","49","By Izmailov R",5,"Sep 23, 2018","Well-structured course, excellent lectors. Good for those who wants to learn or remember basics of Chemistry.",109,"chem"
"50","50","By Vinay M",5,"Sep 01, 2017","Good Teachers. They've done a great job by making these lectures. Can be understood really well and quickly.",109,"chem"
"51","51","By Nikol B",5,"Oct 27, 2016","Love the works of the class!  Videos are easy to follow and go along great with the provided notes. 5/5",104,"chem"
"52","52","By Avinash Y",5,"Mar 26, 2019","very nice and interesting question and i loved this course now i am getting more interest in chemistry",102,"chem"
"53","53","By Liliana C",5,"Mar 14, 2018","My first chemistry lessons in English. Very professional and helpful.Congratulations for teachers!",98,"chem"
"54","54","By Clarissa C",5,"Aug 21, 2019","Very good course! I'd like to thank the instructors as they did a very good job in the lessons.",95,"chem"
"55","55","By Cheah K Y",5,"Dec 02, 2017","Great insight on Advanced Chemistry, really helped me to appreciate this subject even more =)",93,"chem"
"56","56","By Luis",5,"Apr 20, 2016","Pretty difficult but, if you plow through, you will feel like a god damned genius in the end.",94,"chem"
"57","57","By Paulo d S",5,"Mar 23, 2016","It's been awesome so far!!! great work and material. Good way to teach too. Thanks a million",92,"chem"
"58","58","By Dhruv D",5,"Apr 18, 2017","good concept clearing and appropriate problems and assessments to check your understanding.",91,"chem"
"59","59","By Soraya B",5,"Dec 10, 2016","The course is  very organized and the pace is very reasonable.  Looking forward to part 2.",90,"chem"
"60","60","By humera k",5,"Dec 06, 2016","Thank you, this is a very good introductory chemistry  course for teens as well as adults.",90,"chem"
"61","61","By Anupama N",5,"Mar 29, 2017","If you have the time and the work ethic, it is a great course that will teach you so much",89,"chem"
"62","62","By Mina A",5,"Jan 15, 2018","It's very useful & helpful & I think it's the best Chemistry course I have ever taken.",86,"chem"
"63","63","By Laura G",5,"Jan 04, 2017","plenty of video resources, very useful lecture notes and exercises solved step by step",86,"chem"
"64","64","By Syed M B F",5,"Dec 01, 2017","When the workload comes with excitation, it gives joy to learning. That what it does.",85,"chem"
"65","65","By Lexo B",5,"Dec 04, 2017","It is a great course for remembering the necessary knowledge to the university level",86,"chem"
"66","66","By John S",5,"Feb 26, 2018","I would like to learn more about chemistry and this is a good place to get started.",83,"chem"
"67","67","By Eveline V",5,"Mar 21, 2018","It would be great if there would be also be organic chemistry course like that !",80,"chem"
"68","68","By Emmanuel S",5,"Feb 01, 2020","Great detailed explanations of concepts and useful examples of problem solving",78,"chem"
"69","69","By hakan k",5,"Jul 21, 2016","It was a great course. I am looking forward to seeing organic chemistry course",78,"chem"
"70","70","By Jaroslav S",5,"May 02, 2016","I really like this course, it's simple explained and direct to the point.",73,"chem"
"71","71","By Adnan k",5,"Aug 29, 2016","it very very effective and useful course. It made me fresh my knowledge.",72,"chem"
"72","72","By Kevin J",5,"Oct 23, 2017","It was an excellent introduction to Chemistry at the University Level!",70,"chem"
"73","73","By HanuRam",5,"Jun 16, 2017","Nice basic course for Chemistry.Many many thanks to the Instructors.",68,"chem"
"74","74","By Colleen M",5,"Nov 01, 2016","Very interesting course. Many examples of problems. Good lecturers.",68,"chem"
"75","75","By Alexey P",5,"Jan 15, 2018","Great course! The last week's topics may require some extra time.",65,"chem"
"76","76","By 川紫绘",5,"Jan 19, 2019","Professor explained the lectures very clearly! Love the course!",63,"chem"
"77","77","By Miljana",5,"Jul 27, 2017","perfect reminder of general chemistry, i really do recommend!",61,"chem"
"78","78","By Fernando O",5,"May 23, 2016","Very good course, congratulation to University em Professors.",61,"chem"
"79","79","By Fhahim J",5,"Aug 28, 2019","Great course, gives a great insight into the topics covered.",61,"chem"
"80","80","By Peter H",5,"Oct 15, 2016","Loved it! Some Organic chemistry courses coming up then? lol",60,"chem"
"81","81","By mohammad h m",5,"Aug 13, 2016","big biig thanks to my dear helpful teacher and university :)",60,"chem"
"82","82","By Mouhannad R",5,"Nov 25, 2019","It was one of the best chemistry courses I have ever done.",58,"chem"
"83","83","By George B",5,"Nov 07, 2018","great teachers! focus on the facts, with clear examples.",56,"chem"
"84","84","By Zharbekov D I",5,"Oct 07, 2019","Thank you very Much for this great COURSE in CHEMISTRY!",55,"chem"
"85","85","By Taeho K",5,"Nov 17, 2018","Great instructors and good course material provided.",52,"chem"
"86","86","By Maram A",5,"Nov 08, 2018","Awesome!! Thank You Very Much!! It is a lot of help.",53,"chem"
"87","87","By Lukman P",5,"Dec 18, 2016","I am very happy i have learn new things in chemistry",52,"chem"
"88","88","By Lars T",5,"Apr 05, 2018","Very good introductory course to general chemistry.",51,"chem"
"89","89","By Oscar N R G",5,"Nov 12, 2019","excelente me gusto la explicación, muy entretenido",51,"chem"
"90","90","By Mani H",5,"Nov 08, 2017","Great teaching , excellent pace.Thank you so much.",50,"chem"
"91","91","By Nydia R",5,"Jun 09, 2018","Complete course and very helpful! Thanks a lot...",49,"chem"
"92","92","By abeer m h",5,"Oct 06, 2019","Very helpfull course for begginers in chemistry",48,"chem"
"93","93","By Rick M",5,"Nov 30, 2019","thank you guys! fantastic format, very helpful",46,"chem"
"94","94","By Hamza I",5,"Feb 05, 2018","very helpful thanks for sharing your knowledge",46,"chem"
"95","95","By Melissa W",5,"Mar 19, 2017","Great course to learn the basics of Chemistry!",46,"chem"
"96","96","By Sandra G S",5,"Sep 24, 2016","Great course, complete and very well explained",46,"chem"
"97","97","By Carol R",5,"Aug 14, 2017","Great resource, explanation and good review",43,"chem"
"98","98","By Duncan R",5,"Jan 13, 2017","clear progressions and simple explanations.",43,"chem"
"99","99","By Michael z",5,"Sep 20, 2018","its a good chem brush-up class for college",43,"chem"
"100","100","By Andre C",5,"Aug 26, 2018","This was a great investment in the subject",42,"chem"
"101","101","By Ephraim q",5,"Oct 19, 2016","the best explanation so far , thank you !!",43,"chem"
"102","102","By Cynthia P",5,"Mar 13, 2017","The videos gave really good explanations.",41,"chem"
"103","103","By jesus",5,"Feb 18, 2018","Great to learn or brush upon chemistry",38,"chem"
"104","104","By Agasthya C",5,"Jul 20, 2019","Awesome! I learnt so much. Thank you!",37,"chem"
"105","105","By José M",5,"Dec 01, 2019","One of the best courses of Coursera.",36,"chem"
"106","106","By Dawn H",5,"Oct 23, 2019","excellent, highly recommended!",30,"chem"
"107","107","By Thomas D",5,"Dec 01, 2019","Great and challenging course!",29,"chem"
"108","108","By Gary D P",5,"Jan 31, 2018","This course was very helpful.",31,"chem"
"109","109","By doaa t m a",5,"May 05, 2017","very good and helpful course",29,"chem"
"110","110","By Serafín R F",5,"May 02, 2017","excelente curso muy completo",28,"chem"
"111","111","By Andres p",5,"Jan 21, 2017","Excelent teacher and course!",30,"chem"
"112","112","By Silvia N H",5,"Sep 24, 2019","This is a excelent Course¡",26,"chem"
"113","113","By Amr F",5,"Oct 09, 2019","Nice easy and interesting",25,"chem"
"114","114","By Симонa С",5,"Mar 24, 2016","It's very understandable",24,"chem"
"115","115","By Scott F",5,"Jun 14, 2019","Phenomenal instructors!",23,"chem"
"116","116","By Kasey C",5,"Dec 04, 2018","great wheres my degree?",23,"chem"
"117","117","By Yeseniami",5,"Sep 14, 2016","An excellent course!!",21,"chem"
"118","118","By Карнова М Н",5,"Oct 14, 2019","Very usefull course",19,"chem"
"119","119","By Tyler G",5,"Feb 11, 2018","I loved this course",19,"chem"
"120","120","By M.Arunkumar",5,"Oct 26, 2017","this is very useful",19,"chem"
"121","121","By Krim A",5,"Nov 21, 2017","gooooooooooooooood",18,"chem"
"122","122","By Patrick O",5,"Aug 10, 2019","Excellent course!",17,"chem"
"123","123","By Luca M",5,"Jul 14, 2017","Excellent course.",17,"chem"
"124","124","By Rafael T",5,"Oct 19, 2016","Very good course!",17,"chem"
"125","125","By Mateusz",5,"Sep 26, 2016","Very nice course!",17,"chem"
"126","126","By Sunil K G",5,"Mar 05, 2020","Very Good Course",16,"chem"
"127","127","By Rahul S",5,"Feb 20, 2020","Excellent course",16,"chem"
"128","128","By Fab",5,"Dec 11, 2018","It's fascinating",17,"chem"
"129","129","By SURYA V",5,"Jun 15, 2016","In detail. good!",16,"chem"
"130","130","By Mohit k",5,"Mar 12, 2019","contents awsome",15,"chem"
"131","131","By pushpendrapal s b",5,"Mar 06, 2019","it is excellent",15,"chem"
"132","132","By Derik D D",5,"May 07, 2018","Excelente curso",15,"chem"
"133","133","By Manasi V G",5,"Jun 30, 2017","GOOD EXPERIENCE",15,"chem"
"134","134","By boujrida i",5,"Jul 28, 2019","wonderful cour",14,"chem"
"135","135","By Tareq A A",5,"Mar 07, 2019","awesome course",14,"chem"
"136","136","By Simone P",5,"Jan 03, 2019","Great course!!",14,"chem"
"137","137","By Dr. A G",5,"Dec 17, 2019","GREAT COURSE",12,"chem"
"138","138","By Manit K",5,"Mar 11, 2019","Great course",12,"chem"
"139","139","By Mohammed S",5,"Dec 23, 2017","good teacher",12,"chem"
"140","140","By Brett D",5,"Oct 31, 2017","Great review",12,"chem"
"141","141","By GARIMELLA R M",5,"Dec 04, 2016","GOOD COURSE",11,"chem"
"142","142","By Nick T",5,"Mar 09, 2018","Excellent.",10,"chem"
"143","143","By Neysan",5,"Dec 14, 2016","Phenomenal",11,"chem"
"144","144","By osama a a e e h",5,"Oct 15, 2017","very good",9,"chem"
"145","145","By Yessica G",5,"Jun 05, 2017","Excelente",9,"chem"
"146","146","By ADRIAN A R C",5,"Apr 07, 2017","EXCELENTE",9,"chem"
"147","147","By Oscar J",5,"Oct 11, 2017","Loved it",8,"chem"
"148","148","By Tun L A",5,"Aug 31, 2017","Good one",8,"chem"
"149","149","By Cindy A Y",5,"Dec 09, 2018","awesome",7,"chem"
"150","150","By Adarsh K",5,"Jul 28, 2017","AMAZING",8,"chem"
"151","151","By Tanyaporn",5,"Jan 11, 2017","love ya",7,"chem"
"152","152","By MUHAMMAD M",5,"Apr 11, 2019","good",4,"chem"
"153","153","By Pradeep k",5,"Mar 10, 2019","good",4,"chem"
"154","154","By Ranim a",5,"Dec 16, 2018","ش",1,"chem"
"155","155","By Nathan B T",4,"Jun 29, 2019","A nice introduction to chemistry.  Only comments I'd make are that there are a lot of errata that would benefit from being corrected in the course lectures; invariably when I find myself confused about something I'm flip-flopping between ""is the problem on my end or is there a typo somewhere in the video""?  Also, if somehow there was a way to make some sort of hands-on content in teh course (maybe a lab simulation app?) that would make some parts a lot more engaging!",471,"chem"
"156","156","By Maria A",4,"Apr 11, 2017","This course wasn't the most riveting course in the world however it did help me to further my understanding of chemistry. Most of the topics had already been taught to me at school but considering I go to an English school, the ability to approach something from an American point of view was a new experience. This was definitely a useful, informative course which has allowed me to approach content from a new perspective.",425,"chem"
"157","157","By Zelin Z",4,"Feb 16, 2020","There is a wide range of topics covered in the course, which builds a solid foundation for various aspects of chemistry. The quiz questions can be made a bit more challenging.",175,"chem"
"158","158","By Venkatesh P M",4,"Jun 03, 2017","Not able to solve a problem in Quiz 7, to calculate delta H for the eqn. MgO + 2H+ ---> Mg2+  + H2OI got only 1.01 KJ, but it is telling wrong. Kindly send me the answer",169,"chem"
"159","159","By salma f a",4,"Aug 28, 2017","An excellent course for beginners in chemistry , involves the most important topics that any student must know , i hardly recommend it for beginners in chemistry :D",164,"chem"
"160","160","By Ruby M",4,"Oct 24, 2016","Very thorough, easy to stay self-motivated with the clear objectives and accessible lectures.  Occasional demos were a  treat!",126,"chem"
"161","161","By Tanish S",4,"Sep 19, 2016","It's a great course, but some of the questions could be improved. Many of the questions were too lacking in content.",116,"chem"
"162","162","By Jonás P",4,"Aug 11, 2016","Excelente curso, las explicaciones on sencillas y amables para el aprendizaje",78,"chem"
"163","163","By Abhishek",4,"Dec 12, 2016","This course is quite best for a student want to learn basics properly.👏👏🌟",73,"chem"
"164","164","By Mercier F",4,"Sep 02, 2017","Amazing course. Unfortunatly, the lecture notes are not always readable...",75,"chem"
"165","165","By rishita c",4,"Jul 12, 2017","this course was amazing.I learnt so much.Truly an incredible experience",71,"chem"
"166","166","By Anupama",4,"Apr 05, 2016","A very informative ,interesting journey through the world of chemistry",70,"chem"
"167","167","By Rohn G",4,"Jun 11, 2016","Well explained and a lot of questions to practice.",50,"chem"
"168","168","By Angel V O",4,"Oct 13, 2016","Very good course with knowledgeable professors.",47,"chem"
"169","169","By Eyob",4,"Mar 19, 2017","just like my college course",27,"chem"
"170","170","By sohail j",4,"Sep 29, 2017","good......to start",18,"chem"
"171","171","By Samridh S",4,"Jun 27, 2016","I love this course
",19,"chem"
"172","172","By Muhammad A",4,"Aug 17, 2017","Amazing course.",16,"chem"
"173","173","By wissal",4,"Dec 28, 2017","the is amazing",15,"chem"
"174","174","By Shahid I",4,"Jan 13, 2019","good course",11,"chem"
"175","175","By Jeevanantham",4,"Jul 22, 2017","Sucess",6,"chem"
"176","176","By Pooja D",4,"Nov 13, 2019","Good.",5,"chem"
"177","177","By Rajdeep S D",4,"Nov 02, 2016","good",4,"chem"
"178","178","By Dave H",3,"Aug 31, 2017","Good to have a lot of practice problems to help gain familiarity with some of the concepts.Course notes would be more useful if they included at least *all* of the slide material (rather than only some part of each slide). There are also a large number of errors, both in the narrative, in the slides, and in the practice problems, which ought to be corrected.Some concepts were never clearly explained, especially work done in compressing a gas at a given temperature and pressure (they can't both be held constant during compression! -- not clear).",550,"chem"
"179","179","By Daniel I",3,"Apr 09, 2017","Good course, I enjoyed learning chemistry! However, the pdf slides could be much better made, since most of them are empty, and the errors in the quiz should be corrected",170,"chem"
"180","180","By M K",3,"Dec 04, 2018","Professor is very knowledgeable. Possibly needs a slower approach to instructionVery difficult course and I am not even done with week 1",136,"chem"
"181","181","By TheMan",1,"Jun 24, 2016","Poor lectures, inaccurate and incomplete information.  Narrative about changing colors is reminiscent of Sal Khan.  I just can't listen to any more of this.",156,"chem"
"182","182","By Maria C",1,"Feb 17, 2020","Seria muy bueno si los videos, y toda la demas informacion estuviera en español.",80,"chem"
"183","183","By Collin C",1,"Mar 14, 2017","The information is not presented well and the math is not always taught.",72,"chem"
"184","184","By KELSON B G",5,"Mar 25, 2019","I have just finished the course and would like to get the certicate. Can you please help me?",93,"chem"
"185","185","By Kolade A O",5,"Jul 17, 2017","Excellent content and delivery!This course has many well-explained examples and practice questions to reinforce the understanding of the taught concepts. Thank you!",164,"chem"
"186","186","By Caitlin A W",5,"Sep 17, 2015","I used this course as a significant portion of my preparation for the CLEP Chemistry exam, and passed today  with an A! Thank you!",130,"chem"
"187","187","By Alfonso M P",5,"Aug 20, 2015","Thank you for reviving my interest in chemistry!",48,"chem"
"188","188","By Novikova D",5,"Jan 06, 2019","I am currently an A-level student (A2) and I found the course extremely useful when preparing for my Chemistry exam. Fortunately, the  topics covered in this course fit my syllabus perfectly. I had a chance to look at many fundamental concepts from a different perspective and to gain a deeper understanding of the  subject. Some of the problems that I used to find confusing and difficult are now completely clear and straight forward for me. Resources provided including tests and numerous worked examples made my work throughout the course very productive and enabled me to practice my skills. Thank you so much for such a wonderful course!",644,"chem"
"189","189","By Zahra M",5,"Mar 02, 2016","Although I had taken this course and higher levels in the past, there are still many subjects that I do not feel I have mastered them. This course helps me to achieve  that goal. Also, it does not mean that this is not a flawless program, but by far is much much much better than the program I had attended in the past.I like to appreciate both instructors for their time and the effort they have put into making these wonderful videos for many students around the world!",471,"chem"
"190","190","By Cristian D C",5,"Jan 26, 2020","The lecturers are just great! They are very clear and uses several worked examples to clarify the concepts. The units are very well organized (although week 4 is quite packed) and the exercises file are very useful for practice. I can only recommend this course if you want to learn about the chemistry of equilibrium or refresh your knowledge about Thermodynamics.",365,"chem"
"191","191","By Kyoung H C",5,"Jul 04, 2017","The video is a really good step-by-step guideline of advanced chemistry. If you already have a good foundation, though, this may be too slow for you. Nevertheless, great teachers and awesome resources for learners to enrich their understanding on the domain of chemistry and its applications.",293,"chem"
"192","192","By Katie M",5,"Sep 02, 2015","This was a fantastic course! The teachers taught the material well and were entertaining in their teaching methods. I enjoyed that the lectures were easy to watch, and I appreciated all of the practice problems.",211,"chem"
"193","193","By David K C",5,"Aug 07, 2015","Excellent lecture videos with practice problems that are very helpful in recalling the chemical concepts. Really wish this course could offer at least an SOA so learners can be more motivated.",192,"chem"
"194","194","By Maya R",5,"Jun 16, 2016","Excellent course. If you are struggling with high school chem, or need a good foundation for college chem - this course moves you through the concepts and gives you lots of practice problems.",192,"chem"
"195","195","By Ximena L",5,"Jan 05, 2019","This is an excellent course for anyone who wishes to expand their chemistry knowledge. There are many practice problems that allow you to apply the material covered in the videos.",179,"chem"
"196","196","By Dennis A",5,"Jan 25, 2016","Great.. I'm chemistry.. And this course is very useful to remember all things have you learnt in the university... Thank u",122,"chem"
"197","197","By Gregory S",5,"Mar 18, 2017","Week 4 was significantly more time-consuming than the others, but it is still an excellent course overall. Recommended!",119,"chem"
"198","198","By Amelia L A",5,"Dec 01, 2019","Sumamente práctico, clases muy bien explicadas, incluso material extra para cada unidad... sin duda, fue magnífico :'D",118,"chem"
"199","199","By Stephanie H",5,"Mar 06, 2016","I am new to teaching AP Chem and this class was a great refresher for me....I suggested that my students enroll.",114,"chem"
"200","200","By Rajdeep S D",5,"Oct 03, 2015","Very Good course ! Hope to see Organic Chemistry and some Biology courses by University of Kentucky like this.",111,"chem"
"201","201","By Ong W W A",5,"Sep 30, 2018","I took this more as a refresher/practise, so I found it quite manageable. Nonetheless, this was well taught.",108,"chem"
"202","202","By Jaime Á",5,"Jul 20, 2017","Great course! helped me reinforce my analytical chemistry knowledge and surely learn some new things too!",105,"chem"
"203","203","By Daria U",5,"Jul 23, 2016","The course is well-structured, clear and coherent. The assessments are quite good too. Recommend it!",100,"chem"
"204","204","By Basel K",5,"Sep 04, 2019","This is an excellent course for anyone who wishes to expand their chemistry knowledge.",90,"chem"
